neighbourhood,average_price_per_night
Strathcona,145.7692
"West Point Grey",144.8400
"Downtown Eastside",144.4300
Kitsilano,138.8425
Downtown,135.4194
"Mount Pleasant",132.3947
Shaughnessy,129.4667
"Arbutus Ridge",129.1538
"West End",126.6938
Fairview,126.5313
Grandview-Woodland,124.9459
"Dunbar Southlands",123.0233
"South Cambie",121.4444
Sunset,119.8444
Killarney,115.3600
"Riley Park",112.0000
"Kensington-Cedar Cottage",107.2205
Hastings-Sunrise,106.6778
Kerrisdale,106.0455
Victoria-Fraserview,94.7727
Marpole,90.5833
Renfrew-Collingwood,89.0267
Oakridge,82.7667
