avg_reviews,neighbourhood
2.70875,Oakridge
2.2016666666666667,"South Cambie"
2.0316666666666663,Strathcona
1.4957142857142853,Sunset
1.3711940298507466,"West End"
1.3279487179487182,Renfrew-Collingwood
1.2975,"Arbutus Ridge"
1.2711111111111113,Kerrisdale
1.243125,"Riley Park"
1.2179012345679008,Kitsilano
1.1342857142857143,"Dunbar Southlands"
1.128859060402684,Downtown
1.126341463414634,Fairview
1.0793333333333335,"Kensington-Cedar Cottage"
1.065,Hastings-Sunrise
1.0403278688524589,Grandview-Woodland
1.0065957446808511,"Downtown Eastside"
0.8876470588235295,Marpole
0.8619999999999999,"West Point Grey"
0.6558333333333333,"Mount Pleasant"
0.6416666666666666,Killarney
0.4428571428571429,Victoria-Fraserview
0.28166666666666673,Shaughnessy
